年底別,總計－男性,總計－女性,院長主任－男性,院長主任－女性,護理人員－男性,護理人員－女性,社會工作人員－男性,社會工作人員－女性,照顧服務員－男性,照顧服務員－女性,外籍看護工－男性,外籍看護工－女性,服務相關之專業人員－男性,服務相關之專業人員－女性,其他－男性,其他－女性
102,141,891,…,…,1,209,10,32,78,576,…,…,0,0,52,74
103,150,950,…,…,1,223,8,35,95,603,…,…,0,0,46,89
104,150,963,24,36,1,237,5,37,96,329,1,286,1,0,22,38
105,185,1056,30,33,3,238,10,34,110,352,2,343,13,21,17,35
106,191,1123,31,32,3,265,9,42,116,372,4,361,9,19,19,32
107,187,1195,29,36,6,270,11,40,107,394,4,397,11,19,19,39
108,196,1215,32,33,8,267,15,37,109,412,4,406,10,22,18,38
109,200,1241,30,36,10,278,16,45,111,403,4,413,12,25,17,41
110,195,1238,29,36,8,279,14,46,112,403,2,408,12,23,18,43
111,250,1260,29,36,8,291,23,53,154,410,5,398,10,17,21,55
112,365,1411,25,40,13,283,21,55,137,374,4,466,142,153,23,40
113,350,1434,26,38,20,292,22,55,120,363,3,487,143,158,16,41
